Utilities
User, Repo, Topic
dreautall, ha-stromnetzgraz, energy-consumption
NMSU-PEARL, GPUs-Energy, energy-consumption
AndrzejKucik, SNN4Space, energy-consumption
sesalab, aDoctor, energy-consumption
dos-group, leaf-java, energy-consumption
TU-Delft-AI-Energy-Lab, MARL-iDR-Multi-Agent-Reinforcement-Learning-for-Incentive-based-Residential-Demand-Response, energy-consumption
ERafaelMartinez, energy_forecasting_LSTM_vs_FCNN, energy-consumption
ldotlopez, ideenergy, energy-consumption
PedramBakh, EC-NAS-Bench, energy-consumption
PhilPJL, ImpSoft.OctopusEnergy, energy-consumption
jsgonzalez15, DistributedTargetAssgmt, energy-consumption
Omega236, ioBroker.virtualpowermeter, energy-consumption
chenzhivis, Emission-Control-Global-Warming-Analysis-and-Prediction, energy-consumption
cziter15, emon_fw, energy-consumption
erkexzcx, gas_monitor, energy-consumption
Boavizta, platypus, energy-consumption
faeludire, octopus-energy-web-api-java, energy-consumption
ionutbalosin, jvm-energy-consumption, energy-consumption
gabrielganzer, IoT-EnergyManagement, energy-consumption
teto1992, greenICTer, energy-consumption
GreenAITorch, GATorch, energy-consumption
lowatt, lowatt-grdf, energy-consumption
fourdollars, energy-tools, energy-consumption
sustainable-computing, COBS-joint-control, energy-consumption
cdzombak, energybridge_to_influxdb, energy-consumption
rekuberate-io, sleepcycles, energy-consumption
maelgangloff, grdf-api, energy-consumption
davidmytton, paper-video-streaming-network-energy, energy-consumption
Lostefra, Bayesian-network-greenhouse-gases, energy-consumption
chakib-belgaid, jreferral, energy-consumption
philippedeb, carbonara, energy-consumption
tomix86, hpcpm, energy-consumption
cdeck3r, ELMO, energy-consumption
jedie, pysmartmeter, energy-consumption
pkarun, Blynk-PZEM-004T-v3.0, energy-consumption
xdanielsb, charts, energy-consumption
tomdyson, octodata, energy-consumption
stefanos1316, Rosetta-Code-Research, energy-consumption
stefanos1316, Rosetta_Code_Research_MSR, energy-consumption
grimmlink, tempo-comparatif, energy-consumption
tomjanus, milp-scheduling, energy-consumption
aservet1, jRAPL, energy-consumption
mcmchris, BL0940-Energy-Meter-w-Arduino, energy-consumption
karakastarik, epias-transparency-forecasting-tool, energy-consumption
smohiudd, drivecycle, energy-consumption
prathimacode-hub, Increasing-Renewable-Energy-Access-India, energy-consumption
blessinvarkey, ecocoding, energy-consumption
Cavekeeper, Energy-consumption-Logarex, energy-consumption
GitHub4Eddy, p1_monitor, energy-consumption
dutch-dwellings, dutch-dwelling-database, energy-consumption
yashkansal97, LA_Energy_Water_Analysis, energy-consumption
chakib-belgaid, IJoules, energy-consumption
LaurentVeyssier, Model-to-predict-Energy-consumption-City-of-Seattle, energy-consumption
GitHub4Eddy, toon_energy, energy-consumption
rjray, mscs-thesis-project, energy-consumption
sprusr, btc-carbon, energy-consumption
benwebber, toronto-hydro-green-button, energy-consumption
AghilesAzzoug, GreenPyData, energy-consumption
dardin88, PETrA, energy-consumption
pascal-parent, esphome, energy-consumption
GitHub4Eddy, tibber_monitor, energy-consumption
mrsimpson, energy, energy-consumption
yasarigno, Predictions_on_Energy_Consumption_in_Seattle, energy-consumption
SeitaBV, smartcharginggame, energy-consumption
JulienLeprince, multidimensional-building-data-cube-pattern-identification, energy-consumption
dizhang, TailTheft, energy-consumption
hardbyte, ha-evnex, energy-consumption
ChristianKoplenig, SMIT, energy-consumption
katrinleinweber, Halbwegs-Smart-MeteR, energy-consumption
hpca-uji, SpMV-CNN-Model, energy-consumption
phoebs88, Refactor4Green, energy-consumption
CaitHRobinson, rladies-clusters, energy-consumption
EuleMitKeule, EstimEnergy, energy-consumption
meharbhutta, home-energy-metering-solution, energy-consumption
S2-group, ease-2020-replication-package, energy-consumption
dmt195, octopus_data, energy-consumption
f-linus, natural_gas_consumption_modelling, energy-consumption
Philippos01, mlops-energy-forecast-thesis, energy-consumption
dmt195, octopus_data, energy-consumption
f-linus, natural_gas_consumption_modelling, energy-consumption
leighgarbs, sproxy, energy-consumption
Nell87, Submetering_Analysis, energy-consumption
vaibhavhindia, Energy-prediction-project-, energy-consumption
davidson-consulting, PowerAPI-Quickstart, energy-consumption
usmanbatch8, usman, energy-consumption
imessenger98, energy-management-tool, energy-consumption
NAKlama, powerSaver, energy-consumption
davidmytton, paper-network-energy, energy-consumption
trahay, mpi-wattmeter, energy-consumption
dox, energy, energy-consumption
EEE17A, DNN-for-NILM, energy-consumption
iamgmujtaba, Energy-Efficient, energy-consumption
evantaur, seiverkot-consumption, energy-consumption
danesherbs, carbon-emissions-exporter, energy-consumption
mohcinemadkour, renewcastapp, energy-consumption
GiorgioCitterio, Shelly_3EM_control, energy-consumption
adityavinodk, energy_save, energy-consumption
DnA-IntRicate, Powerhouse, energy-consumption
IacoT1, PulseTAC, energy-consumption
solarpandas45, Streamlit-Tutorial-a-Thon-IEA-App, energy-consumption
Tejas1415, Task-Scheduling-in-Mobile-Environment, energy-consumption
inetrg, ECO, energy-consumption
brendans-bits, stm32_rust_energy-monitor, energy-consumption
Simeon-byte, SmartMeter, energy-consumption
lit-io, lit-io.github.io, energy-consumption
S2-group, mobilesoft-2020-caching-pwa-replication-package, energy-consumption
GitHub4Eddy, iungo_monitor, energy-consumption
Whiax, DemographyEnergyClimate, energy-consumption
brendans-bits, stm32_rust_energy-monitor, energy-consumption
Simeon-byte, SmartMeter, energy-consumption
drtiwari, Internet-Of-Things-IoT-Projects, energy-consumption
JohannesGetzner, dl-energy-estimator, energy-consumption
surajraju373, Smart-Energy-Meter, energy-consumption
karlduggan, Energy_Calculator, energy-consumption
ml-energy, ml-energy.github.io, energy-consumption
miladashouri, residential-energy-prediction, energy-consumption
vildan878, Novacoding, energy-consumption
lildude, OctoCostToo, energy-consumption
euporos, energiewende-rechner, energy-consumption
technologiestiftung, energiekarte, energy-consumption
GitHub4Eddy, tibber_live, energy-consumption
gianantoniopini, meter-data-analytics, energy-consumption
shankar-shiv, Load-Forecasting, energy-consumption
ubco-mds-2021-labs, dashboard1-group-a, energy-consumption
ricoen, IoT-AES-128, energy-consumption
A-Giant-Panda, phovafer, energy-consumption
BrucesHobbies, sumpMaster, energy-consumption
konmaz, CleanEmonApp, energy-consumption
MHenderson, energy-use, energy-consumption
smulage, charlotte_energy_future, energy-consumption
RamSailopal, UK-Energy-Usage-2020, energy-consumption
frizull, sambuco, energy-consumption
Rumbaar, Electricity-Daily-Charge-HA, energy-consumption
christoffercarlsson, tibber, energy-consumption
milouk, Efficient-Computing-in-a-Safe-Environment, energy-consumption
ziadelassal, DrahiX-energy-forecasting, energy-consumption
cityssm, node-green-button-parser, energy-consumption
OwnYourData, app-energy, energy-consumption
SiNa88, MAPO, energy-consumption
zeronounours, lovelace-energy-entity-row, energy-consumption
vmarzlin, ValTronix-VTM0001-EnergyMonitor, energy-consumption
kmaclaury, Computational-Sustainability-Toolkit, energy-consumption
Enprogames, sustainablinds, energy-consumption
chakib-belgaid, chakib-belgaid, energy-consumption
motia, solarapp, energy-consumption
cgallegoan, Consumo-Energetico-UPV, energy-consumption
ml-energy, blog, energy-consumption
MobiliyaTechnologies, EnergyManagement, energy-consumption
hawaii-clean-energy-metrics, hcem, energy-consumption
P-Ehlert, cloudfoundry_footprint, energy-consumption
MrAsimZahid, SmartMeter-Power-Consumption-Time-Series-Forecasting, energy-consumption
zzzzz1st, timeSlots, energy-consumption
jamwills, Energy_Modelling, energy-consumption
anthonyho, utility_analysis, energy-consumption
acardoco, kaggle_ashrae, energy-consumption
Kerl1310, codecarbon_tutorial, energy-consumption
droguk, kettle_calculator, energy-consumption
RiccardoEvangelisti, Monitoraggio-IMe, energy-consumption
iamanuragdhiman, AV_Jobathon_Nov_22_Energy_Consumption_Forecasting, energy-consumption
Timadey, appower, energy-consumption
jerleo, android-meters, energy-consumption
pvdabeel, mysmappee, energy-consumption
Crefeda, CrefThinkspace, energy-consumption
eigenein, my-iot, energy-consumption
mayur29, Kaggle_Hourly_Energy_Consumption, energy-consumption
RafeyIqbalRahman, SmartEnergyMeter, energy-consumption
Android-TPL-energy-consumption, AmplitudeMonitoring, energy-consumption
PaninoCode, ProvaCalcolatoreEnergia, energy-consumption
joycekuohmoukouri, seattle_net_zero, energy-consumption
MattiaBrocco, Energy-Consumption-EU, energy-consumption
lcudenne, eeprobe, energy-consumption
devosmitachatterjee2018, Time_Series_Analysis, energy-consumption
nyirobalazs, synaptic_caching_with_multilayer_perceptron, energy-consumption
evolunis, Wellenbrecher, energy-consumption
lofilippini, energy-consumption-forecasting, energy-consumption
bpetit, shellyplug-prom-push, energy-consumption
Thomas-George-T, Appliance-Energy-Prediction, energy-consumption
S2-group, energy-measures-android-apps-benchmark, energy-consumption
InnopolisUniversity, MetaAnalysis, energy-consumption
juulieen, quick-start-powerAPI, energy-consumption
S2-group, EASE-2022-energy-critical-css-rep-pkg, energy-consumption
Axelvel, DS50, energy-consumption
christianmendoza, jcpl-electricity-analysis, energy-consumption
adamkalbouneh, deorsum-energy-decision-support-tool, energy-consumption
KOSASIH, Enemax, energy-consumption
shaani2000, DTSC-5301, energy-consumption
SolarexICO, Ecosystem_Applications, energy-consumption
Kauno-miestas, Daugiabuciu-renovacija, energy-consumption
plckr, ha-energy-json-storage, energy-consumption
kaustubhmulay, YorkU-time-series-analysis, energy-consumption
fcorowe, covid_energy, energy-consumption
S2-group, py-monsoon-profiler, energy-consumption
ZhijingHu-Rey, Undergrad-ME-Works, energy-consumption
nightsailor, eco, energy-consumption
nicolasrosal98, London-Energy-Forecast, energy-consumption
Android-TPL-energy-consumption, CrashReportingTemplate, energy-consumption
Android-TPL-energy-consumption, MonitoringTemplate, energy-consumption
Swerfer, 3-phase_energy_gauges_card, energy-consumption
rjray, perf-expr-ener, energy-consumption
webdevbc, agenergyreport, energy-consumption
carloszimm, sbes2019, energy-consumption
dennisschroer, energy-tracker, energy-consumption
